Car created: Car{carID=0model='opel', color='red', maxSpeed=100kmh, power=90hp};2024-05-19T06:04:59.990370700
Car read: 1;2024-05-19T06:05:05.800914800
Team read: 1;2024-05-19T06:05:17.974804700
Car updated: Car{carID=0model='opel', color='red', maxSpeed=120kmp, power=90hp};2024-05-19T06:06:36.055088
Car read: 4;2024-05-19T06:06:42.695313600
Car read: 6;2024-05-19T06:06:50.608203500
Car read: 3;2024-05-19T06:06:55.704099
Car read: 5;2024-05-19T06:07:13.961637200
Driver updated: Driver{driverID=0car=Car{carID=0model='opel', color='red', maxSpeed=100kmh, power=90hp}name='quit', age=19, country='romania'};2024-05-19T06:07:52.939808100
Driver read: 1;2024-05-19T06:07:57.240998700
Car deleted: 1;2024-05-19T06:08:11.575458700
Car read: 1;2024-05-19T06:08:19.900652
Driver deleted: 1;2024-05-19T06:08:40.642720300
Car deleted: 4;2024-05-19T10:19:35.854102
Car created: Car{carID=0model='volvo', color='pink', maxSpeed=200kmh, power=100hp};2024-05-19T10:20:29.040909800
Car read: 4;2024-05-19T10:20:38.851545400
Car read: 5;2024-05-19T10:20:55.617573700
Car read: 4;2024-05-19T10:21:44.931787200
Car read: 4;2024-05-19T10:22:16.924633100
Car read: 4;2024-05-19T10:23:32.637393
Car read: 2;2024-05-19T10:23:45.617309300
Car read: 3;2024-05-19T10:24:08.261878500
Car read: 1;2024-05-19T10:24:22.321485900
Team read: 1;2024-05-19T10:26:13.014210800
Driver read: 1;2024-05-19T10:26:28.329069700
Car read: 2;2024-05-19T10:34:30.077685600
Car read: 2;2024-05-19T10:34:46.610238
Team read: 1;2024-05-19T10:37:51.628096
Driver read: 2;2024-05-19T10:37:56.566804400
Car updated: Car{carID=0, model='opel', color='yellow', maxSpeed=100kmh, power=50hp};2024-05-19T10:39:01.865192100
Car updated: 4;2024-05-19T10:48:16.240795700
Car read: 4;2024-05-19T10:48:23.849749500
Car deleted: 4;2024-05-19T10:49:21.928138200
Car read: 4;2024-05-19T10:49:26.328334100
Driver read: 2;2024-05-19T10:54:40.557518100
Driver read: 2;2024-05-19T10:55:22.179456
Driver updated: Driver{driverID=2, car=Car{carID=5, model='volvo', color='pink', maxSpeed=200kmh, power=100hp}, name='lebron james', age=40, country='america'};2024-05-19T10:55:55.228686800
Driver read: 2;2024-05-19T10:55:59.475116
Driver read: 3;2024-05-19T10:56:40.210770700
Driver created: Driver{driverID=0, car=Car{carID=2, model='Volvo', color='Black', maxSpeed=200kmp, power=320hp}, name='ionut andrei', age=30, country='armenia'};2024-05-19T11:01:59.369199600
Driver deleted: 3;2024-05-19T11:02:06.201847
Driver read: 3;2024-05-19T11:02:10.771530400
Driver read: 2;2024-05-19T11:05:10.749807700
Driver updated: Driver{driverID=2, car=Car{carID=2, model='Volvo', color='Black', maxSpeed=200kmp, power=320hp}, name='lebron james', age=40, country='america'};2024-05-19T11:05:38.995673600
Driver read: 2;2024-05-19T11:05:46.224660900
Driver updated: Driver{driverID=2, car=Car{carID=2, model='Volvo', color='Black', maxSpeed=200kmp, power=320hp}, name='lebron james', age=10, country='germany'};2024-05-19T11:11:13.727519300
Driver read: 2;2024-05-19T11:11:17.074390300
Driver read: 1;2024-05-19T11:18:13.028605100
Driver read: 2;2024-05-19T11:20:44.467572800
Driver created: Driver{driverID=0, car=Car{carID=5, model='volvo', color='pink', maxSpeed=200kmh, power=100hp}, name='anton', age=23, country='france'};2024-05-19T11:21:02.627892
Driver read: 3;2024-05-19T11:21:07.826594100
Driver read: 4;2024-05-19T11:21:19.542425500
Team read: 1;2024-05-19T11:23:58.402988
Car read: 5;2024-05-19T12:13:23.608522400
Driver read: 4;2024-05-19T12:15:58.246474100
Driver read: 4;2024-05-19T12:22:08.259909300
Driver read: 4;2024-05-19T12:23:33.910921600
Team read: 2;2024-05-19T12:25:52.383855800
Driver read: 4;2024-05-19T12:35:07.996688600
Team read: 2;2024-05-19T12:36:25.925769
Team created: Team{teamID=0, name='alfa romeo', sponsor='intel', trophies=12, budget=1241241, driver=Driver{driverID=4, car=Car{carID=5, model='volvo', color='pink', maxSpeed=200kmh, power=100hp}, name='anton', age=23, country='france'}};2024-05-19T12:45:05.132784500
Team read: 3;2024-05-19T12:45:13.936729
Team read: 2;2024-05-19T12:45:54.252567500
Driver read: 4;2024-05-19T12:47:51.411195700
Team read: 3;2024-05-19T12:50:01.299078300
Circuit read: 1;2024-05-19T12:57:43.874821200
Circuit read: 1;2024-05-19T12:57:43.879343300
Circuit read: 2;2024-05-19T12:57:55.891705500
Circuit read: 2;2024-05-19T12:57:55.899911800
Circuit created: CircuitDirt{circuitID=0, name='dirty dirt', length=12, location='madrid', record='12:23:43', terrain='dirt', jumps=13, obstacles=6};2024-05-19T13:06:10.429392800
Circuit read: 3;2024-05-19T13:06:19.877475600
Circuit read: 3;2024-05-19T13:06:19.879962200
Circuit created: CircuitDirt{circuitID=0, name='shores sandy', length=25, location='paris', record='16:34:64', terrain='sand', jumps=15, obstacles=9};2024-05-19T13:14:02.835415200
Circuit updated: CircuitDirt{circuitID=2, name='Sandy Shores', length=20, location='25km', record='15:10:12', terrain='sand', jumps=10, obstacles=5};2024-05-19T13:14:02.838362100
Circuit read: 2;2024-05-19T13:14:11.463251800
